name,my_project,published,description,homepage,html_url,logo_url,topics,date,evernote_url,see_also,inspiration_reference
paper-folding,Y,N,Visualizations of paper folding,,,,visualization,,https://share.evernote.com/note/31db5818-6423-4d90-8fe8-14ac91eab445,,
percy-davies,Y,N,Statistical analysis of donations to the Percy Davies Trust,,,,local-community,,,,
periodic-table,Y,Y,"The Periodic Table, Animated",https://observablehq.com/@tomwhite/the-periodic-table-animated,https://github.com/tomwhite/periodic-table,,visualization,2021-03-01,,,
plastic-numbers,Y,N,Visualization of 3D Padovan Sequences,,,,visualization,,https://share.evernote.com/note/4d82ff6c-ef3c-4e6a-9498-b48affcd073a,,"Ian Stewart, Math Hysteria"
polarize,Y,N,A new optical puzzle,,https://github.com/tomwhite/polarize,,games,,https://share.evernote.com/note/f4f0c48a-1535-5ade-3c38-677efa83d0f6,,
pong,Y,Y,"An Arduino port of pypaddle, which is ""a paddle ball bouncing game very similar to Pong""",https://github.com/tomwhite/pong,https://github.com/tomwhite/pong,,"games,maker,retro-computing",2023-01-01,,,
predict_pv_yield_nwp,N,N,Build a baseline model for predicting PV yield using NWP (numerical weather predictions),,https://github.com/openclimatefix/predict_pv_yield_nwp,,,,https://share.evernote.com/note/a4894487-bb89-41a5-b557-bc9d0c2328a7,,
prisonersdilemma,Y,N,Axelrod's Iterated Prisoners' Dilemma contests,,https://github.com/tomwhite/prisonersdilemma,,games,,,,"Robert Axelrod, The Evolution of Co-operation"
project-curation,Y,N,"Curating, publishing, and visualizing my projects",,https://github.com/tomwhite/project-curation,,visualization,,https://share.evernote.com/note/53e54865-e278-4115-b108-698ddc9dec49,,
projecteuler,Y,N,A few Project Euler puzzle solutions,,,,,,,,
pyodide-curses,Y,N,Earlier version of pyodide-curses-mar-2022,,,,,,https://share.evernote.com/note/897b1c9d-d3f5-3d24-de88-3547f4702163,pyodide-curses-mar-2022,
pyodide-curses-mar-2022,Y,N,"Can we implement the minimal subset of (python) curses that (python) blessed uses, and use the node.js blessed as the implementation for pyodide?",,,,,,https://share.evernote.com/note/897b1c9d-d3f5-3d24-de88-3547f4702163,,
pypaddle,N,N,A paddle ball bouncing game very similar to Pong,,https://github.com/arpruss/pypaddle,,games,,,pong,
ql,Y,N,Programs for the Sinclair QL,,,,retro-computing,,https://share.evernote.com/note/ff49d3a8-48c0-428c-8428-62c1e9ee937b,,
qltools,N,N,Qltools is a utility that allows you to access files stored on a QL Floppy Disc,,https://github.com/SinclairQL/qltools,,retro-computing,,,,
qs,Y,N,A bunch of disparate scripts and code to analyse various things about my body,,,,,,,,
qxltools,N,N,"Tools to manipulate Sinclair QL ""QXL.WIN"" files on numerous (!) operating systems.",,https://github.com/NormanDunbar/qxltools,,retro-computing,,,,
read_thermal.py,N,N,Flir Image Extractor,,https://github.com/Nervengift/read_thermal.py,,,,,,
rechunker-cloud-cli,Y,N,Rechunk Zarr files using PyWren,,,,"arrays,visualization",,,,
recursive-photos,Y,N,Every year on Millie and Lottie's birthdays I take a picture of them holding the previous year's photo of themselves.,,,,"family,visualization",,https://share.evernote.com/note/704cfedd-6b0c-e06f-61cd-a472da5c2b96,,
reflect,Y,Y,An optical puzzle,https://tom-e-white.com/reflect/,https://github.com/tomwhite/reflect,,games,2023-01-01,,,
resampling,Y,N,"Code for John Rauser's ""Statistics without the agonizing pain""",,,,,,https://share.evernote.com/note/3be79b22-6493-463a-bcf7-debbb259ad44,,
riemann-staircase,Y,Y,Notebooks for computing approximations to the prime counting function using Riemann's formula.,https://observablehq.com/@tomwhite/riemann-staircase,https://github.com/tomwhite/riemann-staircase,,"maths,visualization",2021-12-01,,,Prime Obsession: Bernhard Riemann and the Greatest Unsolved Problem in Mathematics by John Derbyshire
running-data,Y,N,Scripts for analysing my running data from Strava,,,,,,,,
saidak-primes,Y,Y,Computing Saidak primes,https://github.com/tomwhite/saidak-primes/blob/main/saidak.ipynb,https://github.com/tomwhite/saidak-primes,,maths,2022-01-16,https://share.evernote.com/note/79585533-bcab-44a9-9eea-c84fedf6e538,,My Favorite Theorem with Ken Ribet - talking about different proofs of the infinitude of primes.
set,Y,N,Notes on the game SET,,,,games,,,set-game,
set-game,Y,Y,Play SET using image recognition and deep learning,https://github.com/tomwhite/set-game,https://github.com/tomwhite/set-game,,games,2017-01-01,,,
shannon,N,N,Collected papers,,,,,,,,
shrdlu-old,Y,N,Old project to emulate MACLisp in Common Lisp to run Winograd's SHRDLU,,,,,,https://share.evernote.com/note/85b89264-7d63-44ec-9fc6-7fb1dbe84cb8,,
shrdlu-src,Y,N,Source code from various SHRDLU projects,,,,,,https://share.evernote.com/note/85b89264-7d63-44ec-9fc6-7fb1dbe84cb8,shrdlu-old,
six-insect-game,Y,N,An OpenSpiel implementation of an obscure board game.,,,,games,,https://share.evernote.com/note/ef197700-e786-c7e5-ddb5-029364f02a27,six-insect-game-ludii,
six-insect-game-ludii,Y,N,Playing around with Ludii and OpenSpiel integration,,,,games,,https://share.evernote.com/note/ef197700-e786-c7e5-ddb5-029364f02a27,six-insect-game,
spirals,Y,N,Drawing spirals,,,,"visualization,maths",,https://share.evernote.com/note/a8f5635d-3cff-4e70-b1d5-41fe219be4c7,,
stats-wales-dataframe,Y,N,Download StatsWales data in CSV format for processing in R and Python,,https://github.com/tomwhite/stats-wales-dataframe,,local-community,,,,
superellipse,Y,Y,A program to generate Piet Hein's superellipses.,https://observablehq.com/@tomwhite/superellipse-generator,https://github.com/tomwhite/superellipse,,visualization,2002-03-01,,,Martin Gardner
superfarmer,Y,N,Python implementation of the Super Farmer board game,,,,games,,https://share.evernote.com/note/581a24e1-5fac-4802-8064-17d8f87ac21e,,
t1d-genetic-risk-score,Y,N,Code for calculating an individual's T1D genetic risk score from their 23andMe data,,https://github.com/tomwhite/t1d-genetic-risk-score,,t1d,,,,
tennis-ball-parabola,Y,Y,Plotting a parabola by filming a tennis ball throw.,http://www.tom-e-white.com/2015/03/tennis-ball-parabola.html,https://github.com/tomwhite/tennis-ball-parabola,,visualization,2015-03-01,,,
thehill,Y,Y,A two-player game from 1985 written in Sinclair QL SuperBASIC,https://tom-e-white.com/thehill/,https://github.com/tomwhite/thehill,,"games,retro-computing",2025-08-16,https://share.evernote.com/note/ff49d3a8-48c0-428c-8428-62c1e9ee937b,zx81-frogging,
thermal-camera,Y,N,Code and data for running thermal camera surveys,,,,local-community,,https://share.evernote.com/note/07ff3b63-fc12-e5e3-ce44-353caadcb6f7,,
tidepool-cli-tools,Y,N,Loading historical FreeStyle Libre data into Tidepool,,https://github.com/tomwhite/tidepool-cli-tools,,t1d,,https://share.evernote.com/note/b5e831b6-703e-462f-84f7-e4c3b498107a,,
tomwhite-hba1c,Y,N,Plots of my HbA1c data,,,,t1d,,https://share.evernote.com/note/d260548b-d02c-4da2-8940-0ba505ea6f97,,
tomwhite-website,Y,N,Old website (replaced by tomwhite.github.com),,,,,,,,
tomwhite-website-new,Y,N,Local push target for my website (tomwhite.github.com),,,,,,,,
tomwhite.github.com,Y,N,My website (tom-e-white.com),https://tom-e-white.com/,https://github.com/tomwhite/tomwhite.github.com,,,,https://share.evernote.com/note/3b89cc18-98a1-4597-99cc-7b7c77dfd870,,
topple,Y,N,Unsuccessful experiment to create a balancing game using blocks (based on Nature's blox),,,,games,,https://share.evernote.com/note/6360a89b-73bc-fef6-b969-8eb966ff21eb,,
tournesol,Y,N,Phyllotaxis in Java,,https://github.com/tomwhite/tournesol,,"visualization,maths",,,,
tournesol-js,Y,N,Phyllotaxis in JavaScript,,,,"visualization,maths",,,,
tree-preservation-orders,Y,N,Unfinished code to analyse Welsh tree preservation orders dataset,,,,local-community,,,,
vegbox,Y,N,Scrape Riverford website to find what's in this week's vegbox,,,,home,,,,
vstack-and-rechunk,Y,N,Experiments to fix https://github.com/dask/dask/issues/5105,,,,arrays,,,,
wattson-emulator,Y,N,A simple HTML page that emulates the Wattson energy monitor colour display on a local Open Energy Monitoring system,,,,"visualization,home",,https://share.evernote.com/note/45c5674b-0764-42e7-85e1-d679e7177b15,,
webcam,Y,N,Java program to capture webcam image (for Set),,,,,,https://share.evernote.com/note/ea590f21-68ff-4388-afaa-6af5019ccec9,set-game,
whats-for-dinner,Y,N,Unfinished code to analyse food diary to suggest what to have for dinner,,,,home,,,,
wordcloud,Y,N,Generate a word cloud of my projects using Evernote tags,,,,visualization,,,,
workhouse,Y,N,Analysis of Crickhowell workhouse data,,,,local-history,,,,
zx81,Y,N,"Audio files of my ZX81 tapes, plus other resources",,,,retro-computing,,https://share.evernote.com/note/751668ba-bd93-41cc-b471-258a8838fc97,zx81-frogging,
zx81-dat-tape-reader,N,N,Read data from .wav samples of old ZX81 data tapes,,https://github.com/mvindahl/zx81-dat-tape-reader,,retro-computing,,,,
zx81-frogging,Y,Y,The first program I ever wrote,http://tom-e-white.com/zx81-frogging/web/frogging.html,https://github.com/tomwhite/zx81-frogging,,"games,retro-computing",2018-01-01,,,
zx81-javascript-emulator,N,N,A fork of Simon Holdsworth's JtyOne JavaScript Emulator (of the Sinclair ZX81.),,https://github.com/hammingweight/zx81-javascript-emulator,,retro-computing,,,,
zx81-not-only-30-programs,Y,Y,"Run the programs from ""Not Only 30 Programs for the Sinclair ZX81"" in your browser",https://tomwhite.github.io/zx81-not-only-30-programs/web/index.html,https://github.com/tomwhite/zx81-not-only-30-programs,,"games,retro-computing",2023-01-01,,,
zx81-p-file-kaitai,Y,N,A Kaitai Struct definition for the ZX81 P file format.,,https://github.com/tomwhite/zx81-p-file-kaitai,,retro-computing,,,,
zx81-p-file-viewer,Y,N,ZX81 P file viewer,,,,retro-computing,,,,
zx81-refurb,Y,Y,How I refurbished my ZX81,https://tom-e-white.com/2022/12/refurbishing-my-zx81.html,https://github.com/tomwhite/zx81-refurb,,"maker,retro-computing",2022-12-01,,,
zxtext2p,Y,N,A modified version of ZXText2P to add a `-d` option to collapse the display file,,https://github.com/tomwhite/zxtext2p,,retro-computing,,,,
